,User id,Club,Genre,Age,Zone géographique,Occupation,Sport,Film,Interactions en ligne,Revenu,Permis de conduire,Motorisé,Que faites vous pendant votre temps libre?,Vous aimez les jeux videos?,vous préférez quelles marques,Que fais tu pendant ton temps libre?,En général quel type d'information as tu besoin?,"Plus globalement, as-tu des projets personnels ?",T’intéresses tu à la politique ?,Vois-tu un intérêt à voter ?,"D’après toi, qu’est-ce qui manque le plus aux jeunes de ton âge?",Vous disposez (plusieurs réponses possible),vous êtes ,combien de voitures disposez vous dans votre famille,j'habite?,Pour me déplacer je prends ,As-tu accès à internet facilement?
2873,621ed33e203e20001fc7b732,"ca, bizertin",homme,entre 18 24 an,bizerte,luniversité,football,policier,autre,inferieur 400 dtn mois,,false,autre,oui,nike lacoste bos prada,sortie entre amis,métiers sport losirs santé projets létranger voyage études emplois offres demploi etudesformations,voyage projet professionnel,true,true,évènements culturels transport espaces jeunes sécurité instance donner avis lieux où s’informer structure sportives autre,aucun,locataire,aucune,,bus,
2874,6221c968eeb5ca0020e0f639,"c, sfaxien",homme,entre 18 24 an,sfax,luniversité,,action,facebook instagram autre,entre 400 650 dtn mois,false,false,activités associatives internet,oui,nike lacoste bos prada,tvjeux vidéos internet activités associatives,projets létranger voyage études emplois,voyage,false,true,autre lieux où s’informer,machine a laver automatique,propiétaire,2,"chez, parent","voiture, taxi, vélo",true
2875,622fb509a92c39001fd0203c,sahel,homme,entre 18 24 an,tunis,,football,action,facebook tik tok instagram snapshat,entre 1200 1800 dtn mois,true,true,tvjeux vidéos internet,oui,nike lacoste bos prada,internet tvjeux vidéos activités associatives activités sportives,offres demploi,projet humanitaire carritatif projet professionnel projet detudes voyage,false,false,évènements culturels espaces jeunes sécurité instance donner avis lieux où s’informer lieux où demander conseils structure sportives,climatiseur,propiétaire,1,"chez, parent",voiture,true
2876,620c1859569f9a002bd7e3fc,"c, sfaxien",homme,entre 25 34 an,tunis,salariée,,romantique,facebook,entre 650 1200 dtn mois,false,false,internet,oui,nike lacoste bos prada,internet sortie entre amis,projets létranger voyage études emplois,projet professionnel,false,true,sécurité lieux où demander conseils,climatiseur,locataire,aucune,appartement,taxi,true
2877,620826f6776c6c002ab8390c,"club, africain",homme,moins 18 an,kef,,,action,facebook instagram tik tok snapshat,entre 3000 5000 dtn mois,,true,internet sortie entre amis autre,oui,nike lacoste bos prada,activités sportives tvjeux vidéos,projets létranger voyage études emplois sport losirs métiers,voyage projet professionnel,false,false,autre,machine a laver automatique,locataire,2,,,
2878,6207dfcecbad6e0020e439c9,,homme,entre 25 34 an,tunis,salariée,,action,facebook instagram tik tok snapshat,entre 1200 1800 dtn mois,true,true,internet,non,nike lacoste bos prada,internet,vie pratique transport horaires d’ouverture différentes structure sport losirs santé etudesformations projets létranger voyage études emplois,voyage projet professionnel projet detudes,false,true,évènements culturels espaces jeunes instance donner avis lieux où demander conseils structure sportives,climatiseur,propiétaire,1,,voiture,true
2879,62169392619553001f59af92,tunis,homme,,bizerte,,football,action,facebook,entre 3000 5000 dtn mois,,false,tvjeux vidéos activités sportives lecture,oui,chanel saint laurent dior louis vuitton,sortie entre amis tvjeux vidéos,santé,voyage,true,true,évènements culturels,machine a laver automatique,propiétaire,aucune,,,
2880,62ce97a9d590dc001ff32654,tunis,,moins 18 an,tunis,lycée,football,horreur,facebook,entre 1800 3000 dtn mois,,true,activités sportives,oui,nike lacoste bos prada,activités sportives,etudesformations,projet professionnel projet detudes,true,true,transport,lave vaisselle,locataire,1,,bus,true
2881,6253090c44aeab0020691c30,tunis,,,tunis,,,action,facebook,,true,false,tvjeux vidéos,oui,chanel saint laurent dior louis vuitton,activités associatives,etudesformations,voyage,false,true,transport,,,,,,
2882,6207badc807e1a0020376368,tunis,homme,entre 25 34 an,kef,recherche dun emploi,,action,facebook instagram,entre 650 1200 dtn mois,false,false,autre internet sortie entre amis,oui,nike lacoste bos prada,internet tvjeux vidéos,projets létranger voyage études emplois etudesformations offres demploi métiers,projet detudes projet professionnel voyage,false,false,espaces jeunes transport évènements culturels instance donner avis sécurité lieux où s’informer lieux où demander conseils structure sportives,aucun,locataire,aucune,"chez, parent","bus, train, autre",false
2883,62d54ab478f2ce001e1f8b69,tunis,homme,entre 18 24 an,tunis,luniversité,football,action,facebook instagram,entre 400 650 dtn mois,true,false,activités sportives,oui,chanel saint laurent dior louis vuitton,activités sportives internet tvjeux vidéos,sport losirs santé,voyage projet professionnel,true,true,transport sécurité espaces jeunes instance donner avis évènements culturels,climatiseur,propiétaire,2,"chez, parent",bus,
2884,620b84e669ce2d0020d44759,"club, africain",homme,entre 25 34 an,tunis,,,policier,facebook instagram,entre 400 650 dtn mois,,false,activités sportives tvjeux vidéos internet,oui,nike lacoste bos prada,activités associatives,etudesformations offres demploi,voyage,false,false,transport,sèche linge,locataire,aucune,appartement,metro,true
2885,623d0e8ac64084002a03eac8,,homme,,tunis,recherche dun emploi,football,action,facebook tik tok snapshat instagram,plus der 5000 dtn mois,,true,tvjeux vidéos internet autre,oui,nike lacoste bos prada,tvjeux vidéos internet sortie entre amis activités sportives,etudesformations,voyage,true,false,évènements culturels transport espaces jeunes,machine a laver automatique,locataire,1,autre,moto,true
